,country,year,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Real interest rate (%),Deposit interest rate (%),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
13156,United States,1970,5.83825533848253,5.60217016436724,2.18540000839062,,4.90000009536743,
13157,United States,1971,4.29276668813045,5.06916748805631,0.62260495720725,,5.90000009536743,
13158,United States,1972,3.27227824655283,4.32275145745318,0.88722916425152,,5.59999990463257,
13159,United States,1973,6.17776006377041,5.47988070323844,2.40973534145284,,4.90000009536743,
13160,United States,1974,11.0548048048048,8.99869462646564,1.65106445818912,,5.59999990463257,
13161,United States,1975,9.14314686496534,9.26261205760063,-1.28141917096265,,8.5,
13162,United States,1976,5.74481263549085,5.50338639985235,1.26689165699568,,7.69999980926514,
13163,United States,1977,6.50168399472839,6.21336667727508,0.575068852913289,,7.09999990463257,
13164,United States,1978,7.63096383885602,7.03383077555833,1.88990329174528,,6.09999990463257,
13165,United States,1979,11.2544711292795,8.29655708788701,4.03454769286935,,5.80000019073486,
13166,United States,1980,13.5492019749684,9.03307690564108,5.7163904794562,,7.09999990463257,
13167,United States,1981,10.3347153402771,9.46214483934116,8.59461978793387,,7.59999990463257,
13168,United States,1982,6.13142700027494,6.17826749673415,8.17734743775717,,9.69999980926514,
13169,United States,1983,3.21243523316063,3.91678718743533,6.6181602274006,,9.60000038146973,
13170,United States,1984,4.30053547523427,3.60770540480202,8.14108811911498,,7.5,
13171,United States,1985,3.54564415209369,3.1624451696169,6.56332655995495,,7.19999980926514,
13172,United States,1986,1.89804772234275,2.01390148483323,6.19386027119665,,7.0,
13173,United States,1987,3.66456321751691,2.47281001382842,5.59223790069931,,6.19999980926514,
13174,United States,1988,4.07774110744408,3.52742146520499,5.59038219332081,,5.5,
13175,United States,1989,4.82700303008949,3.92034817535432,6.69068693481143,,5.30000019073486,
13176,United States,1990,5.39795643990322,3.74332973847665,6.03974920024778,,5.59999990463257,
13177,United States,1991,4.23496396453853,3.38176155337062,4.91534648240575,,6.80000019073486,6.80000019073486
13178,United States,1992,3.0288196781497,2.27891032683829,3.88423803806005,,7.5,7.5
13179,United States,1993,2.95165696638554,2.37033960111148,3.54561722959168,,6.90000009536743,6.90000009536743
13180,United States,1994,2.6074415921546,2.13542370696524,4.898309954362,,6.11999988555908,6.11999988555908
13181,United States,1995,2.80541968853655,2.09690072576767,6.5939963828891,,5.65000009536743,5.65000009536743
13182,United States,1996,2.9312041999344,1.83096786671982,6.32407370913164,,5.44999980926514,5.44999980926514
13183,United States,1997,2.33768993730741,1.78816614253974,6.53661498804258,,5.0,5.0
13184,United States,1998,1.55227909874362,1.12552039639621,7.1481919123237,,4.51000022888184,4.51000022888184
13185,United States,1999,2.18802719697358,1.44380352524929,6.4571348015229,,4.21999979019165,4.21999979019165
13186,United States,2000,3.37685727149935,2.23547440584899,6.84484418755139,,3.99000000953674,3.99000000953674
13187,United States,2001,2.82617111885402,2.1934253449969,4.62675686396421,,4.73000001907349,4.73000001907349
13188,United States,2002,1.58603162650603,1.58176300591224,3.04507118458628,,5.78000020980835,5.78000020980835
13189,United States,2003,2.27009497336113,1.85709520165997,2.22410112310282,,5.98999977111816,5.98999977111816
13190,United States,2004,2.67723669309173,2.6922121263311,1.60458893576253,,5.53000020980835,5.53000020980835
13191,United States,2005,3.39274684549547,3.11494234781323,2.98135677415587,,5.07999992370605,5.07999992370605
13192,United States,2006,3.22594410070407,3.02620464133297,4.78644765750077,,4.61999988555908,4.61999988555908
13193,United States,2007,2.85267248150136,2.68627890903008,5.22340584151622,,4.61999988555908,4.61999988555908
13194,United States,2008,3.83910029665101,1.94513170334587,3.08241133651995,,5.78000020980835,5.78000020980835
13195,United States,2009,-0.35554626629975,0.762349988423779,2.46882889478265,,9.25,9.25
13196,United States,2010,1.64004344238989,1.16525054364868,2.06073671062756,,9.63000011444092,9.63000011444092
13197,United States,2011,3.15684156862206,2.08890377766842,1.1373383192166,,8.94999980926514,8.94999980926514
13198,United States,2012,2.06933726526059,1.91784900670304,1.30708311280131,,8.06999969482422,8.06999969482422
13199,United States,2013,1.46483265562714,1.75491578501162,1.46929925051209,,7.36999988555908,7.36999988555908
13200,United States,2014,1.62222297740821,1.84982747081428,1.37474217085635,,6.17000007629395,6.17000007629395
13201,United States,2015,0.118627135552435,0.952531532798019,2.28569648741529,,5.28000020980835,5.28000020980835
13202,United States,2016,1.26158320570537,1.04924737000228,2.43685070473409,,4.86999988555908,4.86999988555908
13203,United States,2017,2.13011000365963,1.88006787244998,2.17569426533145,,4.3600001335144,4.3600001335144
13204,United States,2018,2.44258329692818,2.40098111411591,2.44449371999786,,3.90000009536743,3.90000009536743
13205,United States,2019,1.81221007526015,1.78515153743628,3.43601046885253,,3.67000007629395,3.67000007629395
13206,United States,2020,1.23358439630637,1.20520169603763,2.31111141663839,,8.05000019073486,8.05000019073486
13207,United States,2021,4.69785886363739,,,,5.34999990463257,5.46400022506714
